timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-02-24,145.51,148.05,145.38,146.43,121.844296019,5447948,0,1
2020-02-21,151.04,151.04,148.84,149.84,124.681754528,3536740,0,1
2020-02-20,150.81,151.62,149.51,151.22,125.830051519,2880483,0,1
2020-02-19,151.54,151.89,150.31,150.86,125.530495782,2732905,0,1
2020-02-18,149.79,151.38,149.64,151.1,125.730199607,3343038,0,1
2020-02-14,154.42,154.56,149.77,150.7,125.397359899,6095081,0,1
2020-02-13,154.37,154.83,153.41,154.31,128.401238262,3819757,0,1
2020-02-12,153.75,155.6,153.52,155.31,129.233337531,4437792,0,1
2020-02-11,155.12,155.22,152.73,153.48,127.710595868,3833574,0,1
2020-02-10,152.97,154.44,151.58,154.43,128.501090174,5237553,0,1
2020-02-07,154.55,155.54,152.92,153.41,127.652348919,6414553,1.62,1
2020-02-06,156.82,158.75,155.42,156.76,129.076838138,8394374,0,1
2020-02-05,150.21,157.44,150.15,156.33,128.722774344,14379714,0,1
2020-02-04,147.78,149.38,146.88,149.11,122.777796216,5619700,0,1
2020-02-03,144.25,147.28,143.9,146.27,120.439328365,8886414,0,1
2020-01-31,142.9,144.05,140.79,143.73,118.347881766,18987138,0,1
2020-01-30,136.76,136.97,134.97,136.77,112.616988723,5007038,0,1
2020-01-29,139.17,139.58,137.6,137.69,113.374520562,3053189,0,1
2020-01-28,139.5,140.47,138.75,139.55,114.906052323,3449000,0,1
2020-01-27,138.5,140.07,138.1,138.62,114.140286443,4165146,0,1
2020-01-24,143.39,143.92,140.46,140.56,115.737690538,5579292,0,1
2020-01-23,144.2,144.41,142.15,142.87,117.639754177,5654308,0,1
2020-01-22,143.32,145.79,142.55,143.89,118.479626434,16464948,0,1
2020-01-21,137.81,139.35,137.6,139.17,114.593158738,7130819,0,1
2020-01-17,136.54,138.33,136.16,138.31,113.885031149,5622251,0,1
2020-01-16,137.32,138.19,137.01,137.98,113.613307772,4319896,0,1
2020-01-15,136,138.06,135.71,136.62,112.493478097,4045591,0,1
2020-01-14,136.28,137.14,135.55,135.82,111.834754759,3680958,0,1
2020-01-13,135.48,136.64,135.07,136.6,112.477010013,3162843,0,1
2020-01-10,137,137.87,136.31,136.69,112.551116389,3255398,0,1
2020-01-09,135.74,136.79,135.31,136.74,112.592286598,3730549,0,1
2020-01-08,134.51,135.86,133.92,135.31,111.41481863,4345952,0,1
2020-01-07,133.69,134.96,133.4,134.19,110.492605957,3267592,0,1
2020-01-06,133.42,134.24,133.2,134.1,110.418499581,2421128,0,1
2020-01-03,133.57,134.86,133.56,134.34,110.616116583,2373470,0,1
2020-01-02,135,135.92,134.77,135.42,111.505393089,3148461,0,1
2019-12-31,132.53,134.12,132.4,134.04,110.369095331,3777504,0,1
2019-12-30,135.2,135.3,132.5,132.81,109.356308198,4118929,0,1
2019-12-27,135,135.75,134.87,135.27,111.381882463,2752185,0,1
2019-12-26,134.98,135.31,134.65,134.91,111.085456961,2129654,0,1
